,C1 response mean,C2 response mean,C3 response mean,C4 response mean,C5 response mean,C6 response mean,C7 response mean,C8 response mean,E1 response mean,E2 response mean,E3 response mean,E4 response mean,H1 response mean,H2 response mean,H3 response mean,H4 response mean,H5 response mean
58,,,,,,,,,,,0.04395604395604396,,,,,0.3516483516483517,
59,,,,,,,,,,,0.3076923076923077,,,,,0.3626373626373626,
60,,,,,,,,,,,0.43956043956043955,,,,,0.3626373626373626,
61,,,,,,,,,,,0.3626373626373626,,,,,0.3516483516483517,
62,,,,,,,,,,,0.4175824175824176,,,,,1.0,
63,,,,,,,,,,,0.43956043956043955,,,,,0.3076923076923077,
64,,,,,,,,,,,0.3516483516483517,,,,,0.3516483516483517,
65,,,,,,,,,,,0.3516483516483517,,,,,0.3076923076923077,
66,,,,,,,,,,,0.31868131868131866,,,,,0.3516483516483517,
67,,,,,,,,,,,0.32967032967032966,,,,,0.38461538461538464,
68,,,,,,,,,,,0.3516483516483517,,,,,0.6043956043956044,
69,,,,,,,,,,,0.8681318681318682,,,,,0.3516483516483517,
